record_id,sqs_score,category_scores_json,rules_hit,rules_missed,rules_not_applicable,violations_count,n_claims_extracted,n_consistency_failures,scored_at,analyzer_version,error
ctrl_0007,32.0000,"{""assumptions"":0.0,""effect_sizes"":30.0,""guidelines"":26.6667,""precision"":40.0,""reproducibility"":65.0,""sample_power"":20.0}",ES008|ES010|GC002|PR001|PR002|PR007|RP001|RP003|RP004|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES009|ES011|GC001|GC003|GC004|GC005|PR003|PR004|PR005|PR006|PR008|RP002|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,34,11,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0008,22.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":40.0,""reproducibility"":30.0,""sample_power"":40.0}",GC002|PR001|PR002|PR007|RP003|RP004|SP001|SP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP005|SP006,,37,7,0,2026-04-17T13:19:59+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0005,23.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":40.0,""precision"":40.0,""reproducibility"":30.0,""sample_power"":33.3333}",GC002|GC005|PR001|PR002|PR007|RP003|RP004|SP001|SP006,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005,,36,34,0,2026-04-17T13:20:00+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0009,14.0000,"{""assumptions"":13.3333,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":13.3333}",AS003|GC002|PR002|RP003|RP004|SP006,AS001|AS002|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005,,39,0,0,2026-04-17T13:20:00+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0010,24.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":55.0,""sample_power"":40.0}",GC002|GC003|PR002|RP001|RP003|RP004|SP001|SP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP002|RP005|RP006|RP007|SP002|SP003|SP005|SP006,,37,17,0,2026-04-17T13:20:00+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0006,15.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":33.3333}",GC002|PR007|RP003|RP004|SP001|SP006,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR002|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005,,39,14,0,2026-04-17T13:20:00+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0011,14.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":-13.3333,""reproducibility"":30.0,""sample_power"":40.0}",GC002|RP003|RP004|SP001|SP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR002|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP005|SP006,,40,0,0,2026-04-17T13:20:00+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0012,12.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":30.0,""sample_power"":0.0}",GC002|PR002|PR007|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,40,0,0,2026-04-17T13:20:00+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0007,19.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":65.0,""sample_power"":0.0}",GC002|PR002|PR004|RP001|RP003|RP004|RP007,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR005|PR006|PR007|PR008|RP002|RP005|RP006|SP001|SP002|SP003|SP004|SP005|SP006,,38,0,0,2026-04-17T13:20:01+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0013,15.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":30.0,""sample_power"":20.0}",GC002|PR002|PR008|RP003|RP004|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005|SP006,,39,0,0,2026-04-17T13:20:01+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0014,25.0000,"{""assumptions"":13.3333,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":40.0,""reproducibility"":40.0,""sample_power"":33.3333}",AS007|GC002|PR001|PR002|PR007|RP003|RP004|RP007|SP001|SP006,AS001|AS002|AS003|AS004|AS005|AS006|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|SP002|SP003|SP004|SP005,,35,8,0,2026-04-17T13:20:01+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0008,11.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":20.0,""sample_power"":20.0}",GC002|PR002|RP003|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP004|RP005|RP006|RP007|SP002|SP003|SP004|SP005|SP006,,41,0,0,2026-04-17T13:20:01+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0015,16.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":20.0}",GC002|GC004|PR002|RP003|RP004|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005|SP006,,39,9,0,2026-04-17T13:20:01+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0016,10.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":0.0}",GC002|PR002|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,41,0,0,2026-04-17T13:20:02+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0009,22.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":26.6667,""reproducibility"":55.0,""sample_power"":20.0}",GC002|PR002|PR005|PR007|RP001|RP003|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR006|PR008|RP002|RP004|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,37,0,0,2026-04-17T13:20:02+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0017,18.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":26.6667,""reproducibility"":35.0,""sample_power"":20.0}",GC002|PR002|PR005|PR007|RP001|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR006|PR008|RP002|RP003|RP004|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,38,0,0,2026-04-17T13:20:02+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0018,22.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":26.6667,""reproducibility"":55.0,""sample_power"":20.0}",GC002|PR002|PR005|PR007|RP001|RP003|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR006|PR008|RP002|RP004|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,37,0,0,2026-04-17T13:20:02+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0010,25.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":40.0,""precision"":40.0,""reproducibility"":65.0,""sample_power"":0.0}",GC002|GC005|PR001|PR002|PR007|RP001|RP003|RP004|RP007,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|PR003|PR004|PR005|PR006|PR008|RP002|RP005|RP006|SP001|SP002|SP003|SP004|SP005|SP006,,36,1,0,2026-04-17T13:20:02+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0019,26.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":80.0,""sample_power"":20.0}",GC002|GC003|PR002|RP001|RP003|RP004|RP006|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP002|RP005|SP002|SP003|SP004|SP005|SP006,,36,0,0,2026-04-17T13:20:02+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0020,14.0000,"{""assumptions"":0.0,""effect_sizes"":10.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":30.0,""sample_power"":0.0}",ES007|GC002|PR002|PR007|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,39,0,0,2026-04-17T13:20:03+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0011,18.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":26.6667,""reproducibility"":35.0,""sample_power"":20.0}",GC002|PR002|PR005|PR007|RP001|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR006|PR008|RP002|RP003|RP004|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,38,0,0,2026-04-17T13:20:03+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0021,22.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":26.6667,""reproducibility"":55.0,""sample_power"":20.0}",GC002|PR002|PR005|PR007|RP001|RP003|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR006|PR008|RP002|RP004|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,37,0,0,2026-04-17T13:20:03+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0022,24.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":26.6667,""reproducibility"":65.0,""sample_power"":20.0}",GC002|PR002|PR005|PR007|RP001|RP003|RP004|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR006|PR008|RP002|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,36,0,0,2026-04-17T13:20:03+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0012,22.0000,"{""assumptions"":13.3333,""effect_sizes"":0.0,""guidelines"":60.0,""precision"":13.3333,""reproducibility"":30.0,""sample_power"":20.0}",AS003|GC002|GC004|GC005|PR002|PR007|RP003|RP004|SP001,AS001|AS002|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|PR001|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005|SP006,,36,31,0,2026-04-17T13:20:03+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0023,13.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":20.0}",GC002|PR002|RP003|RP004|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005|SP006,,40,0,0,2026-04-17T13:20:03+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0024,13.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":0.0}",GC002|GC004|PR002|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,40,4,0,2026-04-17T13:20:04+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0013,12.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":30.0,""sample_power"":0.0}",GC002|PR002|PR007|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,40,0,0,2026-04-17T13:20:04+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0025,19.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":13.3333,""reproducibility"":65.0,""sample_power"":0.0}",GC002|PR002|PR007|RP001|RP003|RP004|RP007,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR008|RP002|RP005|RP006|SP001|SP002|SP003|SP004|SP005|SP006,,38,2,0,2026-04-17T13:20:04+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0026,13.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":0.0}",GC002|GC004|PR002|RP003|RP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP001|SP002|SP003|SP004|SP005|SP006,,40,0,0,2026-04-17T13:20:04+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0014,39.0000,"{""assumptions"":13.3333,""effect_sizes"":30.0,""guidelines"":60.0,""precision"":40.0,""reproducibility"":65.0,""sample_power"":20.0}",AS007|ES006|ES010|GC002|GC003|GC005|PR001|PR002|PR007|RP001|RP003|RP004|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS008|ES001|ES002|ES003|ES004|ES005|ES007|ES008|ES009|ES011|GC001|GC004|PR003|PR004|PR005|PR006|PR008|RP002|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,31,5,0,2026-04-17T13:20:04+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0027,26.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":46.6667,""precision"":0.0,""reproducibility"":65.0,""sample_power"":40.0}",GC002|GC003|PR002|RP001|RP003|RP004|RP007|SP001|SP004,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP002|RP005|RP006|SP002|SP003|SP005|SP006,,36,24,0,2026-04-17T13:20:04+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
ctrl_0028,20.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":65.0,""sample_power"":20.0}",GC002|PR002|RP001|RP003|RP004|RP007|SP001,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP002|RP005|RP006|SP002|SP003|SP004|SP005|SP006,,38,8,0,2026-04-17T13:20:05+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
case_0015,15.0000,"{""assumptions"":0.0,""effect_sizes"":0.0,""guidelines"":26.6667,""precision"":0.0,""reproducibility"":30.0,""sample_power"":33.3333}",GC002|PR002|RP003|RP004|SP001|SP006,AS001|AS002|AS003|AS004|AS005|AS006|AS007|AS008|ES001|ES002|ES003|ES004|ES005|ES006|ES007|ES008|ES009|ES010|ES011|GC001|GC003|GC004|GC005|PR001|PR003|PR004|PR005|PR006|PR007|PR008|RP001|RP002|RP005|RP006|RP007|SP002|SP003|SP004|SP005,,39,9,0,2026-04-17T13:20:05+00:00,618a75d4dfdcda08ac743f622b6b7bd6756238ad,
